resume_id,role,seniority,strong_skills,medium_skills,weak_skills,missing_skills,years_experience,projects_count,resume_quality,ats_score
R00406,Full-Stack Engineer,Mid,TypeScript;Docker;Node.js;Python;AWS;JavaScript,SQL;React,,,6.7,2,high,0.78
R00407,Full-Stack Engineer,Senior,Python;SQL;Docker;AWS;TypeScript;Node.js;React,JavaScript,,,10.1,1,high,0.83
R00408,Machine Learning Engineer,Junior,MLflow;Python;Docker;TensorFlow;AWS,scikit-learn;PyTorch,,,2.0,2,medium,0.74
R00409,Data Engineer,New Grad,Kafka;Python;SQL;AWS,GCP;ETL,Spark,Airflow,1.5,3,medium,0.7
R00410,Full-Stack Engineer,Mid,SQL;React;Docker;Python;TypeScript;JavaScript,AWS;Node.js,,,6.4,2,high,0.73
R00411,Full-Stack Engineer,Mid,JavaScript;Docker;Node.js;React;Python;TypeScript,AWS;SQL,,,6.6,1,high,0.77
R00412,Embedded Software Engineer,Intern,C;UART;Debugging,RTOS;Microcontrollers,C++,SPI;I2C,0.2,4,medium,0.62
R00413,Machine Learning Engineer,Senior,AWS;scikit-learn;Docker;TensorFlow;MLflow;PyTorch;Python,,,,10.2,1,high,0.84
R00414,Data Engineer,Mid,SQL;Airflow;AWS;ETL;Python;Spark,Kafka;GCP,,,5.1,1,high,0.72
R00415,Site Reliability Engineer,New Grad,SLIs/SLOs;Linux;Observability;Incident Response,Go;Kubernetes,Python,,2.4,4,medium,0.67
R00416,Systems Software Engineer,Senior,Profiling;Concurrency;Rust;C;Linux;Memory Management;C++,,,,7.9,1,high,0.79
R00417,Systems Software Engineer,Intern,Linux;C++;Rust,Memory Management;Concurrency,C,Profiling,1.0,2,medium,0.6
R00418,Site Reliability Engineer,Intern,SLIs/SLOs;Observability;Python,Go;Linux,Kubernetes,Incident Response,1.3,5,medium,0.56
R00419,Backend Software Engineer,Intern,AWS;Docker;Go,SQL;Java,C++,Kubernetes;Python;PostgreSQL,0.0,3,medium,0.56
R00420,Data Engineer,Junior,GCP;Python;AWS;ETL;Spark,Kafka;SQL,Airflow,,2.5,1,medium,0.7
R00421,Machine Learning Engineer,Junior,PyTorch;AWS;MLflow;Python;TensorFlow,Docker;scikit-learn,,,2.4,3,medium,0.68
R00422,Systems Software Engineer,Senior,Linux;C;Memory Management;Profiling;Concurrency;C++;Rust,,,,7.3,0,high,0.77
R00423,Machine Learning Engineer,Senior,PyTorch;AWS;Docker;MLflow;scikit-learn;TensorFlow;Python,,,,8.7,2,high,0.78
R00424,Full-Stack Engineer,Junior,React;Node.js;Python;JavaScript;SQL,TypeScript;Docker,AWS,,2.9,1,medium,0.73
R00425,DevOps Engineer,Junior,Python;Kubernetes;CI/CD;AWS;Docker,Linux;Terraform,,,2.6,3,medium,0.66
R00426,Systems Software Engineer,Senior,Memory Management;Linux;Rust;Concurrency;Profiling;C++;C,,,,9.0,1,high,0.8
R00427,Site Reliability Engineer,Intern,Go;Observability;Kubernetes,SLIs/SLOs;Incident Response,Python,Linux,1.3,5,medium,0.61
R00428,Backend Software Engineer,Senior,CI/CD;REST APIs;PostgreSQL;C++;Go;Java;SQL,Kubernetes;AWS,Python,,7.7,1,high,0.78
R00429,Full-Stack Engineer,Senior,SQL;Docker;React;AWS;Node.js;TypeScript;Python,JavaScript,,,11.0,0,high,0.78
R00430,Site Reliability Engineer,Mid,Linux;Go;Incident Response;Kubernetes;Observability;Python,SLIs/SLOs,,,5.0,2,high,0.74
R00431,Systems Software Engineer,Intern,Rust;Profiling;Memory Management,Concurrency;C,Linux,C++,1.2,2,medium,0.56
R00432,Machine Learning Engineer,Intern,TensorFlow;PyTorch;Docker,Python;scikit-learn,AWS,MLflow,1.2,3,medium,0.62
R00433,Frontend Engineer,Senior,React;Next.js;TypeScript;JavaScript;Accessibility;Testing;CSS,HTML,,,9.8,0,high,0.76
R00434,Full-Stack Engineer,Junior,TypeScript;JavaScript;AWS;Docker;Node.js,Python;React,SQL,,4.0,1,medium,0.66
R00435,Full-Stack Engineer,Intern,React;Python;JavaScript,Docker;SQL,Node.js,AWS;TypeScript,0.3,4,medium,0.59
R00436,DevOps Engineer,Senior,Python;AWS;Terraform;CI/CD;Kubernetes;Linux;Docker,,,,12.0,2,high,0.8
R00437,Backend Software Engineer,Mid,Docker;CI/CD;Python;PostgreSQL;Kubernetes;C++,AWS;Go,Java,SQL,5.6,1,high,0.75
R00438,Systems Software Engineer,Intern,Profiling;Rust;Linux,C++;Concurrency,Memory Management,C,1.0,2,medium,0.58
R00439,DevOps Engineer,Senior,Python;Docker;Kubernetes;AWS;CI/CD;Linux;Terraform,,,,11.6,2,high,0.85
R00440,Embedded Software Engineer,New Grad,I2C;C++;SPI;Debugging,UART;RTOS,C,Microcontrollers,2.1,3,medium,0.69
R00441,Backend Software Engineer,Intern,SQL;Kubernetes;AWS,Docker;REST APIs,Python,Java;Go;CI/CD,1.1,5,medium,0.59
R00442,Frontend Engineer,Junior,HTML;JavaScript;CSS;Next.js;React,TypeScript;Testing,Accessibility,,2.9,3,medium,0.73
R00443,Data Engineer,Intern,ETL;SQL;Kafka,GCP;AWS,Airflow,Spark;Python,1.0,4,medium,0.61
R00444,Embedded Software Engineer,New Grad,C++;C;I2C;Debugging,SPI;RTOS,Microcontrollers,UART,2.4,3,medium,0.66
R00445,Systems Software Engineer,Senior,C;Linux;Memory Management;Profiling;Concurrency;Rust;C++,,,,8.3,2,high,0.77
R00446,DevOps Engineer,Senior,Docker;CI/CD;Python;Terraform;AWS;Linux;Kubernetes,,,,7.4,1,high,0.83
R00447,Data Engineer,New Grad,GCP;AWS;SQL;Spark,Kafka;Python,Airflow,ETL,1.2,2,medium,0.69
R00448,Data Engineer,Senior,AWS;Kafka;GCP;Airflow;SQL;Python;ETL,Spark,,,10.9,2,high,0.83
R00449,Backend Software Engineer,Mid,Docker;AWS;C++;SQL;Java;CI/CD,Python;PostgreSQL,REST APIs,Go,4.7,2,high,0.79
R00450,DevOps Engineer,Junior,Docker;Linux;CI/CD;Kubernetes;AWS,Terraform;Python,,,3.9,3,medium,0.68
R00451,Frontend Engineer,New Grad,Testing;HTML;React;CSS,Accessibility;Next.js,JavaScript,TypeScript,2.4,2,medium,0.68
R00452,Embedded Software Engineer,Intern,Debugging;I2C;RTOS,UART;Microcontrollers,C++,C;SPI,0.2,4,medium,0.59
R00453,Machine Learning Engineer,New Grad,Docker;MLflow;Python;scikit-learn,PyTorch;AWS,TensorFlow,,2.5,2,medium,0.62
R00454,Site Reliability Engineer,Mid,Incident Response;Linux;Go;SLIs/SLOs;Kubernetes;Observability,Python,,,6.3,1,high,0.7
R00455,Systems Software Engineer,Intern,Concurrency;Linux;Rust,C++;C,Memory Management,Profiling,0.4,2,medium,0.64
R00456,Machine Learning Engineer,Intern,MLflow;Docker;AWS,TensorFlow;scikit-learn,PyTorch,Python,1.4,4,medium,0.65
R00457,Backend Software Engineer,Intern,Java;SQL;AWS,C++;PostgreSQL,REST APIs,Python;CI/CD;Kubernetes,1.2,5,medium,0.65
R00458,Site Reliability Engineer,Mid,Observability;Python;Go;SLIs/SLOs;Incident Response;Linux,Kubernetes,,,4.5,2,high,0.72
R00459,Full-Stack Engineer,Intern,Python;AWS;Node.js,Docker;JavaScript,SQL,React;TypeScript,1.2,2,medium,0.6
R00460,Backend Software Engineer,Mid,C++;Python;CI/CD;PostgreSQL;Java;Kubernetes,Docker;AWS,SQL,REST APIs,4.7,1,high,0.75
R00461,Backend Software Engineer,Intern,Docker;AWS;C++,Python;PostgreSQL,Go,SQL;Java;CI/CD,1.0,2,medium,0.56
R00462,Embedded Software Engineer,Mid,UART;Debugging;RTOS;C;Microcontrollers;SPI,C++;I2C,,,5.0,1,high,0.73
R00463,Embedded Software Engineer,Senior,UART;C++;SPI;C;Microcontrollers;I2C;RTOS,Debugging,,,7.5,2,high,0.78
R00464,Backend Software Engineer,New Grad,C++;AWS;REST APIs;Go,Java;Kubernetes,SQL,CI/CD;PostgreSQL,1.2,4,medium,0.67
R00465,Frontend Engineer,Intern,Accessibility;JavaScript;TypeScript,CSS;React,Testing,HTML;Next.js,0.7,3,medium,0.58
R00466,Data Engineer,Mid,AWS;Airflow;ETL;GCP;Python;Kafka,SQL;Spark,,,5.0,1,high,0.71
R00467,Machine Learning Engineer,Senior,scikit-learn;MLflow;AWS;TensorFlow;Python;Docker;PyTorch,,,,11.6,0,high,0.81
R00468,DevOps Engineer,New Grad,Python;AWS;Linux;Kubernetes,CI/CD;Docker,Terraform,,2.4,3,medium,0.67
R00469,Backend Software Engineer,Mid,Java;PostgreSQL;C++;Python;CI/CD;SQL,Docker;Kubernetes,Go,AWS,6.4,1,high,0.74
R00470,Data Engineer,Intern,Python;SQL;GCP,AWS;ETL,Spark,Airflow;Kafka,0.7,3,medium,0.62
R00471,Frontend Engineer,Mid,JavaScript;TypeScript;Testing;React;CSS;Accessibility,HTML;Next.js,,,4.3,1,high,0.8
R00472,Site Reliability Engineer,Intern,Incident Response;Go;Python,Observability;Kubernetes,Linux,SLIs/SLOs,0.8,5,medium,0.62
R00473,Full-Stack Engineer,Junior,Python;JavaScript;Node.js;AWS;SQL,TypeScript;React,Docker,,2.8,3,medium,0.7
R00474,Machine Learning Engineer,Mid,MLflow;TensorFlow;Docker;scikit-learn;AWS;Python,PyTorch,,,6.6,2,high,0.75
R00475,Machine Learning Engineer,Mid,scikit-learn;TensorFlow;Python;Docker;AWS;MLflow,PyTorch,,,6.6,2,high,0.8
R00476,Systems Software Engineer,Mid,Memory Management;C;Rust;Profiling;C++;Concurrency,Linux,,,6.0,2,high,0.7
R00477,Site Reliability Engineer,Senior,SLIs/SLOs;Python;Go;Observability;Incident Response;Linux;Kubernetes,,,,11.3,1,high,0.8
R00478,Embedded Software Engineer,Intern,RTOS;Debugging;Microcontrollers,I2C;SPI,C++,C;UART,1.3,2,medium,0.57
R00479,Full-Stack Engineer,Mid,React;Python;JavaScript;TypeScript;SQL;Node.js,AWS;Docker,,,5.1,1,high,0.72
R00480,Embedded Software Engineer,Junior,Debugging;SPI;Microcontrollers;UART;RTOS,C;C++,I2C,,2.2,2,medium,0.67
R00481,Backend Software Engineer,Mid,PostgreSQL;Go;Python;C++;Java;AWS,CI/CD;REST APIs,Docker,SQL,4.3,2,high,0.72
R00482,Machine Learning Engineer,Intern,Python;AWS;MLflow,scikit-learn;Docker,PyTorch,TensorFlow,0.9,4,medium,0.56
R00483,Machine Learning Engineer,New Grad,Python;PyTorch;AWS;TensorFlow,MLflow;scikit-learn,Docker,,2.5,3,medium,0.62
R00484,Machine Learning Engineer,New Grad,AWS;TensorFlow;Docker;scikit-learn,MLflow;PyTorch,Python,,1.1,4,medium,0.7
R00485,Backend Software Engineer,Mid,Kubernetes;Docker;AWS;REST APIs;Java;Python,SQL;PostgreSQL,Go,CI/CD,5.4,1,high,0.75
R00486,Machine Learning Engineer,Mid,PyTorch;TensorFlow;Python;scikit-learn;AWS;Docker,MLflow,,,4.2,1,high,0.79
R00487,Embedded Software Engineer,Junior,C++;SPI;UART;Microcontrollers;C,I2C;Debugging,RTOS,,4.0,1,medium,0.67
R00488,Systems Software Engineer,New Grad,Concurrency;Profiling;Rust;Memory Management,C;C++,Linux,,1.5,4,medium,0.64
R00489,Site Reliability Engineer,Junior,SLIs/SLOs;Linux;Go;Python;Kubernetes,Observability;Incident Response,,,2.3,3,medium,0.67
R00490,Backend Software Engineer,Intern,PostgreSQL;REST APIs;SQL,C++;Java,CI/CD,AWS;Go;Kubernetes,1.0,5,medium,0.63
R00491,Backend Software Engineer,Intern,CI/CD;REST APIs;Python,Kubernetes;PostgreSQL,SQL,Go;AWS;Java,0.3,4,medium,0.61
R00492,Full-Stack Engineer,New Grad,Python;SQL;Node.js;AWS,React;Docker,JavaScript,TypeScript,2.0,2,medium,0.67
R00493,Frontend Engineer,Intern,Next.js;CSS;Testing,React;TypeScript,HTML,Accessibility;JavaScript,0.5,3,medium,0.6
R00494,Full-Stack Engineer,Mid,TypeScript;Node.js;Docker;JavaScript;AWS;React,Python;SQL,,,6.0,1,high,0.79
R00495,Site Reliability Engineer,Intern,Kubernetes;Linux;SLIs/SLOs,Go;Python,Observability,Incident Response,0.9,3,medium,0.64
R00496,Embedded Software Engineer,Junior,C++;C;UART;SPI;I2C,RTOS;Debugging,Microcontrollers,,2.3,2,medium,0.72
R00497,Data Engineer,Senior,GCP;Kafka;Spark;AWS;Python;Airflow;SQL,ETL,,,11.5,0,high,0.78
R00498,Site Reliability Engineer,Junior,Kubernetes;Incident Response;Observability;SLIs/SLOs;Python,Go;Linux,,,3.2,1,medium,0.74
R00499,Machine Learning Engineer,New Grad,PyTorch;AWS;TensorFlow;scikit-learn,Python;Docker,MLflow,,2.1,4,medium,0.62
R00500,Embedded Software Engineer,Junior,C;SPI;I2C;RTOS;Microcontrollers,C++;Debugging,UART,,2.7,2,medium,0.7
R00501,Systems Software Engineer,Intern,C++;Linux;Concurrency,Rust;C,Memory Management,Profiling,1.1,5,medium,0.61
R00502,Frontend Engineer,New Grad,Testing;React;Next.js;HTML,TypeScript;Accessibility,CSS,JavaScript,1.5,2,medium,0.69
R00503,Data Engineer,New Grad,Spark;ETL;SQL;GCP,Python;Kafka,AWS,Airflow,2.2,4,medium,0.64
R00504,Systems Software Engineer,Intern,C++;Concurrency;Profiling,Linux;C,Memory Management,Rust,0.2,5,medium,0.58
R00505,Frontend Engineer,Intern,React;Next.js;HTML,Testing;TypeScript,CSS,Accessibility;JavaScript,0.9,3,medium,0.55
R00506,Machine Learning Engineer,New Grad,MLflow;Python;AWS;scikit-learn,PyTorch;TensorFlow,Docker,,2.3,4,medium,0.69
R00507,Full-Stack Engineer,Junior,TypeScript;SQL;AWS;Python;Docker,React;JavaScript,Node.js,,2.7,2,medium,0.73
R00508,Backend Software Engineer,Intern,SQL;Java;CI/CD,Kubernetes;Go,PostgreSQL,Python;REST APIs;C++,0.3,4,medium,0.57
R00509,Machine Learning Engineer,Mid,AWS;PyTorch;Python;MLflow;Docker;scikit-learn,TensorFlow,,,6.2,1,high,0.77
R00510,Backend Software Engineer,Senior,PostgreSQL;REST APIs;Kubernetes;AWS;Java;Go;C++,Python;Docker,CI/CD,,8.0,0,high,0.82
R00511,Site Reliability Engineer,Mid,SLIs/SLOs;Kubernetes;Incident Response;Python;Go;Linux,Observability,,,5.4,1,high,0.75
R00512,Machine Learning Engineer,Senior,Python;Docker;TensorFlow;scikit-learn;AWS;MLflow;PyTorch,,,,9.5,0,high,0.81
R00513,Full-Stack Engineer,Mid,Node.js;React;SQL;TypeScript;AWS;Python,Docker;JavaScript,,,5.4,1,high,0.77
R00514,Backend Software Engineer,New Grad,Kubernetes;C++;PostgreSQL;Java,Go;Python,SQL,AWS;REST APIs,2.1,4,medium,0.68
R00515,Data Engineer,Mid,SQL;Python;ETL;AWS;Spark;Kafka,GCP;Airflow,,,6.1,1,high,0.76
R00516,Site Reliability Engineer,Mid,Observability;Kubernetes;Go;Incident Response;Python;SLIs/SLOs,Linux,,,6.7,1,high,0.74
R00517,Machine Learning Engineer,New Grad,Docker;AWS;scikit-learn;MLflow,TensorFlow;PyTorch,Python,,1.3,3,medium,0.66
R00518,DevOps Engineer,New Grad,Kubernetes;AWS;CI/CD;Docker,Python;Linux,Terraform,,2.4,2,medium,0.64
R00519,Data Engineer,Senior,Python;Airflow;GCP;ETL;AWS;Spark;SQL,Kafka,,,8.2,2,high,0.82
R00520,Frontend Engineer,Intern,HTML;Testing;CSS,JavaScript;Next.js,React,TypeScript;Accessibility,1.2,5,medium,0.56
R00521,Backend Software Engineer,Intern,Java;AWS;C++,Go;CI/CD,PostgreSQL,Docker;Kubernetes;SQL,0.3,2,medium,0.61
R00522,Embedded Software Engineer,Mid,UART;RTOS;SPI;C;I2C;Microcontrollers,Debugging;C++,,,4.1,1,high,0.76
R00523,Machine Learning Engineer,Junior,Docker;scikit-learn;TensorFlow;PyTorch;MLflow,AWS;Python,,,3.4,2,medium,0.68
R00524,Embedded Software Engineer,New Grad,C++;C;SPI;Microcontrollers,UART;RTOS,Debugging,I2C,1.4,4,medium,0.63
R00525,Site Reliability Engineer,New Grad,Kubernetes;Observability;Go;Python,Incident Response;SLIs/SLOs,Linux,,1.5,2,medium,0.69
R00526,Machine Learning Engineer,Intern,AWS;MLflow;Python,PyTorch;TensorFlow,scikit-learn,Docker,0.8,3,medium,0.58
R00527,Machine Learning Engineer,New Grad,Python;TensorFlow;AWS;PyTorch,MLflow;Docker,scikit-learn,,1.3,4,medium,0.69
R00528,Systems Software Engineer,New Grad,Memory Management;Profiling;Concurrency;Rust,C++;Linux,C,,1.6,3,medium,0.62
R00529,Full-Stack Engineer,Senior,AWS;JavaScript;Docker;TypeScript;SQL;Python;React,Node.js,,,10.9,2,high,0.84
R00530,Data Engineer,Senior,Kafka;GCP;Spark;SQL;AWS;Python;ETL,Airflow,,,9.3,1,high,0.84
R00531,Site Reliability Engineer,Intern,Observability;Python;Incident Response,Go;SLIs/SLOs,Kubernetes,Linux,0.5,2,medium,0.56
R00532,Machine Learning Engineer,New Grad,PyTorch;scikit-learn;Docker;Python,MLflow;AWS,TensorFlow,,1.0,3,medium,0.61
R00533,Machine Learning Engineer,New Grad,Python;scikit-learn;Docker;AWS,PyTorch;TensorFlow,MLflow,,1.4,4,medium,0.62
R00534,Backend Software Engineer,New Grad,Kubernetes;Python;Docker;Go,CI/CD;PostgreSQL,C++,AWS;SQL,2.5,2,medium,0.63
R00535,Full-Stack Engineer,Intern,Docker;TypeScript;Python,AWS;Node.js,JavaScript,SQL;React,1.1,4,medium,0.55
R00536,Data Engineer,Mid,Kafka;Airflow;GCP;AWS;ETL;SQL,Spark;Python,,,6.8,2,high,0.79
R00537,Full-Stack Engineer,Mid,React;TypeScript;Docker;AWS;Python;JavaScript,SQL;Node.js,,,4.7,1,high,0.75
R00538,Backend Software Engineer,Junior,Go;Docker;Java;AWS;C++,Python;CI/CD,Kubernetes,REST APIs;PostgreSQL,2.3,1,medium,0.7
R00539,Frontend Engineer,New Grad,Accessibility;TypeScript;React;CSS,Testing;Next.js,HTML,JavaScript,2.3,2,medium,0.66
R00540,Site Reliability Engineer,Intern,Python;SLIs/SLOs;Go,Linux;Incident Response,Kubernetes,Observability,0.1,5,medium,0.64
R00541,DevOps Engineer,Mid,CI/CD;Kubernetes;AWS;Docker;Linux;Python,Terraform,,,6.9,1,high,0.74
R00542,Frontend Engineer,Junior,Testing;JavaScript;Next.js;Accessibility;CSS,HTML;React,TypeScript,,3.1,1,medium,0.66
R00543,DevOps Engineer,Senior,Linux;CI/CD;Kubernetes;Docker;Terraform;AWS;Python,,,,11.9,1,high,0.84
R00544,Machine Learning Engineer,New Grad,TensorFlow;Docker;MLflow;Python,scikit-learn;AWS,PyTorch,,1.7,2,medium,0.69
R00545,Systems Software Engineer,Senior,C;Linux;Memory Management;C++;Rust;Concurrency;Profiling,,,,9.8,2,high,0.81
R00546,Site Reliability Engineer,Intern,Python;Go;Linux,Observability;Kubernetes,Incident Response,SLIs/SLOs,0.4,2,medium,0.57
R00547,Systems Software Engineer,Mid,Concurrency;Profiling;C++;C;Linux;Memory Management,Rust,,,6.2,2,high,0.8
R00548,Full-Stack Engineer,Mid,SQL;JavaScript;Node.js;Python;React;Docker,TypeScript;AWS,,,4.5,2,high,0.78
R00549,Backend Software Engineer,New Grad,Java;PostgreSQL;Kubernetes;CI/CD,Go;SQL,C++,Docker;AWS,1.8,4,medium,0.67
R00550,Frontend Engineer,Senior,Testing;Accessibility;JavaScript;TypeScript;HTML;Next.js;CSS,React,,,9.3,0,high,0.76
R00551,Data Engineer,Intern,ETL;AWS;SQL,Spark;Airflow,GCP,Kafka;Python,1.1,5,medium,0.63
R00552,DevOps Engineer,New Grad,Python;AWS;CI/CD;Docker,Linux;Terraform,Kubernetes,,1.4,4,medium,0.67
R00553,Frontend Engineer,Intern,HTML;React;JavaScript,CSS;Accessibility,Testing,TypeScript;Next.js,0.5,2,medium,0.56
R00554,Embedded Software Engineer,New Grad,C++;UART;C;I2C,Debugging;RTOS,Microcontrollers,SPI,1.3,2,medium,0.65
R00555,Backend Software Engineer,Senior,Java;Python;REST APIs;PostgreSQL;CI/CD;AWS;SQL,Kubernetes;Docker,C++,,9.0,1,high,0.83
R00556,Site Reliability Engineer,New Grad,Linux;Go;Kubernetes;Incident Response,Observability;Python,SLIs/SLOs,,2.3,3,medium,0.64
R00557,DevOps Engineer,New Grad,AWS;Kubernetes;Docker;Terraform,CI/CD;Linux,Python,,2.3,4,medium,0.64
R00558,DevOps Engineer,Senior,Kubernetes;Linux;Python;CI/CD;Docker;AWS;Terraform,,,,8.3,1,high,0.85
R00559,DevOps Engineer,Senior,Kubernetes;Terraform;Linux;CI/CD;Python;AWS;Docker,,,,11.2,1,high,0.79
R00560,Full-Stack Engineer,New Grad,Node.js;Docker;AWS;React,TypeScript;JavaScript,SQL,Python,1.7,3,medium,0.64
R00561,Backend Software Engineer,New Grad,PostgreSQL;C++;REST APIs;Python,Docker;CI/CD,Go,Java;Kubernetes,1.8,3,medium,0.66
R00562,Machine Learning Engineer,New Grad,MLflow;Docker;scikit-learn;AWS,PyTorch;TensorFlow,Python,,1.3,3,medium,0.62
R00563,Data Engineer,Junior,AWS;ETL;Spark;Kafka;Airflow,GCP;Python,SQL,,3.2,2,medium,0.74
R00564,Site Reliability Engineer,Junior,Kubernetes;Go;SLIs/SLOs;Observability;Linux,Incident Response;Python,,,2.9,2,medium,0.72
R00565,Full-Stack Engineer,Intern,React;TypeScript;AWS,Node.js;SQL,Docker,Python;JavaScript,0.4,2,medium,0.55
R00566,Frontend Engineer,Intern,Accessibility;TypeScript;HTML,Next.js;Testing,JavaScript,React;CSS,0.3,2,medium,0.62
R00567,Machine Learning Engineer,Intern,Python;Docker;scikit-learn,MLflow;TensorFlow,AWS,PyTorch,0.1,4,medium,0.58
R00568,DevOps Engineer,Intern,Terraform;Docker;Python,AWS;CI/CD,Linux,Kubernetes,1.2,5,medium,0.58
R00569,Embedded Software Engineer,Mid,I2C;Microcontrollers;C++;SPI;RTOS;C,UART;Debugging,,,5.6,1,high,0.77
R00570,Systems Software Engineer,Mid,Linux;C++;Concurrency;Memory Management;Profiling;C,Rust,,,6.2,2,high,0.76
R00571,DevOps Engineer,Junior,Linux;AWS;CI/CD;Terraform;Docker,Kubernetes;Python,,,3.6,2,medium,0.7
R00572,Systems Software Engineer,Mid,Linux;C;Profiling;C++;Concurrency;Rust,Memory Management,,,5.7,1,high,0.77
R00573,Data Engineer,Mid,Airflow;Spark;Kafka;GCP;SQL;AWS,Python;ETL,,,6.3,2,high,0.74
R00574,Backend Software Engineer,Intern,Kubernetes;Go;CI/CD,Docker;REST APIs,C++,Python;SQL;PostgreSQL,0.5,3,medium,0.56
R00575,Frontend Engineer,New Grad,HTML;CSS;Next.js;React,Accessibility;TypeScript,JavaScript,Testing,2.1,3,medium,0.63
R00576,Embedded Software Engineer,Mid,I2C;C;Debugging;RTOS;SPI;UART,Microcontrollers;C++,,,6.4,2,high,0.72
R00577,Frontend Engineer,Junior,React;Next.js;Testing;JavaScript;Accessibility,HTML;CSS,TypeScript,,2.7,3,medium,0.7
R00578,Backend Software Engineer,New Grad,AWS;Go;Docker;CI/CD,C++;Java,SQL,REST APIs;Kubernetes,2.4,3,medium,0.67
R00579,Machine Learning Engineer,Senior,PyTorch;Docker;MLflow;AWS;Python;scikit-learn;TensorFlow,,,,11.4,0,high,0.84
R00580,Embedded Software Engineer,Mid,UART;SPI;Microcontrollers;C++;C;RTOS,Debugging;I2C,,,4.6,1,high,0.71
R00581,Embedded Software Engineer,Intern,C++;SPI;UART,RTOS;I2C,C,Debugging;Microcontrollers,0.2,3,medium,0.61
R00582,Embedded Software Engineer,Junior,UART;C++;RTOS;C;Microcontrollers,I2C;SPI,Debugging,,3.9,2,medium,0.7
R00583,Frontend Engineer,Mid,TypeScript;React;Testing;JavaScript;CSS;Accessibility,HTML;Next.js,,,5.4,1,high,0.77
R00584,Systems Software Engineer,Intern,Memory Management;Linux;Profiling,Concurrency;C++,Rust,C,0.8,4,medium,0.63
R00585,Backend Software Engineer,Intern,PostgreSQL;Kubernetes;REST APIs,C++;Docker,Python,Java;CI/CD;SQL,0.3,3,medium,0.56
R00586,Site Reliability Engineer,Senior,Incident Response;Go;SLIs/SLOs;Linux;Python;Observability;Kubernetes,,,,9.2,2,high,0.78
R00587,DevOps Engineer,Senior,Python;AWS;Linux;Docker;CI/CD;Terraform;Kubernetes,,,,10.7,0,high,0.79
R00588,Backend Software Engineer,New Grad,Java;Docker;Python;REST APIs,Kubernetes;C++,AWS,CI/CD;Go,2.0,4,medium,0.61
R00589,Site Reliability Engineer,New Grad,Kubernetes;Go;Incident Response;Linux,Python;SLIs/SLOs,Observability,,2.3,4,medium,0.69
R00590,Embedded Software Engineer,Junior,RTOS;SPI;C++;I2C;C,Microcontrollers;UART,Debugging,,3.8,3,medium,0.68
R00591,Frontend Engineer,Intern,Testing;Next.js;CSS,TypeScript;HTML,React,JavaScript;Accessibility,0.3,2,medium,0.61
R00592,DevOps Engineer,Mid,CI/CD;Python;Docker;Linux;AWS;Kubernetes,Terraform,,,4.5,2,high,0.71
R00593,Embedded Software Engineer,Junior,RTOS;I2C;UART;C;Debugging,SPI;C++,Microcontrollers,,3.6,3,medium,0.71
R00594,Systems Software Engineer,Junior,Memory Management;Linux;C;Profiling;Concurrency,Rust;C++,,,2.3,2,medium,0.66
R00595,Data Engineer,New Grad,GCP;Python;Spark;AWS,ETL;Airflow,Kafka,SQL,2.5,2,medium,0.66
R00596,Embedded Software Engineer,Intern,C;I2C;RTOS,UART;SPI,C++,Microcontrollers;Debugging,0.8,3,medium,0.59
R00597,DevOps Engineer,New Grad,AWS;Docker;Linux;Terraform,CI/CD;Kubernetes,Python,,1.2,2,medium,0.7
R00598,Systems Software Engineer,Mid,Memory Management;Concurrency;Linux;C++;C;Rust,Profiling,,,4.2,2,high,0.74
R00599,Site Reliability Engineer,Senior,Observability;Python;Kubernetes;Go;Linux;Incident Response;SLIs/SLOs,,,,10.7,0,high,0.79
R00600,Full-Stack Engineer,Mid,SQL;Docker;Node.js;JavaScript;AWS;TypeScript,React;Python,,,5.6,1,high,0.76
R00601,Embedded Software Engineer,Mid,Microcontrollers;C++;RTOS;SPI;UART;I2C,Debugging;C,,,5.3,2,high,0.79
R00602,Data Engineer,New Grad,Kafka;ETL;Airflow;SQL,Spark;AWS,Python,GCP,2.1,3,medium,0.61
R00603,Machine Learning Engineer,Mid,scikit-learn;AWS;Docker;PyTorch;MLflow;Python,TensorFlow,,,4.5,2,high,0.78
R00604,Data Engineer,Intern,Airflow;GCP;Spark,SQL;AWS,Kafka,ETL;Python,1.4,4,medium,0.56
R00605,Embedded Software Engineer,Senior,C;I2C;UART;Microcontrollers;C++;Debugging;SPI,RTOS,,,10.8,1,high,0.77
R00606,Data Engineer,Junior,Kafka;AWS;Spark;ETL;Python,GCP;SQL,Airflow,,2.7,1,medium,0.65
R00607,Data Engineer,Senior,AWS;SQL;GCP;Airflow;Spark;ETL;Python,Kafka,,,7.4,2,high,0.78
R00608,Frontend Engineer,New Grad,HTML;CSS;JavaScript;TypeScript,Accessibility;Next.js,Testing,React,2.2,4,medium,0.66
R00609,Machine Learning Engineer,Senior,scikit-learn;TensorFlow;MLflow;PyTorch;Docker;AWS;Python,,,,7.2,2,high,0.84
R00610,Machine Learning Engineer,Junior,MLflow;AWS;TensorFlow;PyTorch;Docker,Python;scikit-learn,,,3.7,3,medium,0.65
R00611,Embedded Software Engineer,Junior,UART;SPI;Microcontrollers;C++;C,I2C;RTOS,Debugging,,3.0,3,medium,0.72
