resume_id,role,seniority,strong_skills,medium_skills,weak_skills,missing_skills,years_experience,projects_count,resume_quality,ats_score
R00675,Data Engineer Intern,Intern,Docker;Python,CI/CD;Data Modeling,ETL;AWS,Terraform;dbt;Spark,1.0,2,low,0.51
R00676,Full-Stack Engineer,New Grad,System Design;React;Node.js;Docker,Next.js;Auth;REST APIs,SQL,GraphQL;Django,1.6,6,medium,0.58
R00677,Backend Software Engineer Intern,Intern,Azure;Git;PostgreSQL,AWS;MySQL,Docker,API Gateway;SQL,1.4,2,medium,0.61
R00678,DevOps Engineer Intern,Intern,Logging;Prometheus;Docker,Kubernetes;Bash,Monitoring,ArgoCD;Networking,1.3,4,medium,0.54
R00679,Systems Software Engineer,Mid,Rust;CI/CD;gdb;Debugging;System Design,C++;BPF/eBPF;perf;Linux,C;Networking;Concurrency,Memory Management;Docker;Profiling,4.9,1,low,0.54
R00680,DevOps Engineer Intern,Intern,Kubernetes;CI/CD,Bash;Networking,Grafana;Python,Security;Prometheus,1.0,4,low,0.47
R00681,Machine Learning Engineer,New Grad,FastAPI;PyTorch;Python,Computer Vision;scikit-learn;NLP,Docker;CI/CD,Feature Engineering;Experiment Tracking,1.8,2,low,0.47
R00682,Application Security Engineer,New Grad,Code Review;KMS;IAM;JavaScript;Cloud Security,OWASP;Python;API Security,SAST/DAST,Secure SDLC,1.2,2,high,0.59
R00683,Backend Software Engineer,New Grad,MySQL;Testing;Terraform,Linux;SQL;Observability,REST APIs;Python,Caching;API Gateway;Auth,0.3,2,low,0.49
R00684,Application Security Engineer,Mid,API Security;CI/CD Security;Code Review;Python;Burp Suite;Cloud Security,Threat Modeling;Pen Testing;Secure SDLC;IAM,KMS;SAST/DAST,OWASP;Linux;JavaScript,4.7,2,medium,0.57
R00685,Backend Software Engineer Intern,Intern,C++;Auth,Microservices;MySQL,Testing;Kubernetes,GCP;REST APIs;gRPC;Terraform,1.2,2,low,0.43
R00686,Firmware Engineer,New Grad,Logic Analyzer;SPI;RTOS,Bootloaders;Drivers;C,Debugging;CI/CD,Microcontrollers;UART;I2C,1.5,5,low,0.45
R00687,Full-Stack Engineer Intern,Intern,Testing;Python;Git,GraphQL;PostgreSQL,REST APIs,Django;Docker,0.3,4,medium,0.56
R00688,Backend Software Engineer,Junior,System Design;PostgreSQL;AWS;Go,REST APIs;Message Queues;Docker,Terraform;API Gateway;Redis,Microservices;SQL;Caching,2.5,1,low,0.48
R00689,Site Reliability Engineer,New Grad,CI/CD;Tracing;Observability,Python;Incident Response;Terraform,Go;Kubernetes,Grafana;System Design;SLIs/SLOs;Prometheus,2.6,5,low,0.52
R00690,Machine Learning Engineer Intern,Intern,NLP;Model Evaluation;Docker,Python;Deployment,Computer Vision,MLflow;Feature Engineering,0.0,3,medium,0.54
R00691,DevOps Engineer Intern,Intern,Monitoring;CI/CD;Networking;Bash;Python,AWS;Docker,Security,Ansible,1.0,2,high,0.68
R00692,Frontend Engineer Intern,Intern,Accessibility;Svelte;TypeScript,Next.js;Webpack,Jest,Vue;Vite,0.7,3,medium,0.5
R00693,Full-Stack Engineer,New Grad,Auth;PostgreSQL;Testing;JavaScript;Next.js;Python,CI/CD;Docker;Git,Spring Boot,GraphQL,0.7,3,high,0.68
R00694,Embedded Software Intern,Intern,C;SPI;Logic Analyzer,Unit Testing;RTOS,Memory,Firmware;Oscilloscope,1.2,4,medium,0.52
R00695,DevOps Engineer Intern,Intern,Ansible;Networking;Logging,Python;Linux,Security,Kubernetes;CI/CD,0.7,3,medium,0.47
R00696,Robotics Software Engineer Intern,Intern,OpenCV;CUDA;C++;Control Systems,Simulation;Python,SLAM,Linux,0.7,3,high,0.64
R00697,Application Security Engineer,Junior,Secure SDLC;Pen Testing;IAM;Code Review,KMS;SAST/DAST;JavaScript,CI/CD Security;API Security;Python,OWASP;Burp Suite;Threat Modeling;Cloud Security,1.0,4,low,0.49
R00698,Systems Software Engineer,New Grad,Docker;CI/CD;C++;perf,Rust;gdb;C,Networking,BPF/eBPF;Debugging,1.0,6,medium,0.54
R00699,Robotics Software Engineer Intern,Intern,Git;SLAM,Sensors;Linux,Perception;C++,Docker;Gazebo;CUDA,0.4,2,low,0.47
R00700,Security Analyst Intern,Intern,Cloud Security;CI/CD Security;AppSec Basics;Python;Vulnerability Scanning,Networking;IAM,SAST/DAST,OWASP,0.5,5,high,0.7
R00701,Machine Learning Engineer Intern,Intern,Python;GCP;NLP,PyTorch;FastAPI,Docker,Deployment;Model Evaluation,1.6,3,medium,0.52
R00702,Application Security Engineer,Junior,OWASP;IAM;Code Review;Pen Testing;API Security,Burp Suite;Python;CI/CD Security,Cloud Security;JavaScript,Secure SDLC;Threat Modeling,1.3,4,medium,0.65
R00703,Full-Stack Engineer,New Grad,CI/CD;Java;PostgreSQL;Testing,REST APIs;Next.js;Redis,GraphQL,Docker;Spring Boot,1.6,3,medium,0.6
R00704,Backend Software Engineer Intern,Intern,Azure;Terraform;AWS,Go;CI/CD,API Gateway,Docker;Git,0.5,2,medium,0.53
R00705,Site Reliability Engineer,Junior,CI/CD;SLIs/SLOs;Terraform;Docker;Prometheus;Tracing,Observability;Linux;Chaos Engineering,Grafana;Incident Response,Kubernetes,3.0,2,high,0.71
R00706,Backend Software Engineer Intern,Intern,Azure;C++;SQL,Microservices;gRPC,Terraform,GCP;MongoDB,0.7,5,medium,0.56
R00707,Security Analyst Intern,Intern,SAST/DAST;Python;AppSec Basics;Linux;IAM,Threat Modeling;CI/CD Security,Networking,Vulnerability Scanning,1.1,2,high,0.65
R00708,Systems Software Engineer,Mid,C;Rust;BPF/eBPF;System Design;perf;gdb,C++;Linux;Networking;Debugging,Profiling;CI/CD,Docker;Memory Management;Concurrency,3.8,2,medium,0.6
R00709,Data Analyst Intern,Intern,Power BI;BigQuery;Pandas,Python;Excel,Git,Dashboards;dbt,0.4,3,medium,0.55
R00710,Data Engineer Intern,Intern,ETL;Airflow,Data Modeling;CI/CD,Spark;dbt,Snowflake;Data Quality;BigQuery;Terraform,0.8,4,low,0.44
R00711,DevOps Engineer Intern,Intern,Terraform;Networking;ArgoCD,Ansible;CI/CD,Docker,Prometheus;Monitoring,0.7,3,medium,0.57
R00712,Machine Learning Engineer,New Grad,Experiment Tracking;Docker;Model Serving,PyTorch;Deployment;NLP,Model Evaluation;FastAPI,Computer Vision;GCP;scikit-learn;MLflow,1.3,5,low,0.44
R00713,Site Reliability Engineer,New Grad,Grafana;Linux;Python,Kubernetes;Incident Response;SLIs/SLOs,Chaos Engineering;System Design,Terraform;Prometheus;CI/CD,0.6,4,low,0.47
R00714,Firmware Engineer,New Grad,UART;Logic Analyzer;Memory Management;Git;RTOS,Bootloaders;C++;Firmware,Debugging,CI/CD,1.8,2,high,0.68
R00715,Application Security Engineer,New Grad,API Security;Burp Suite;Code Review;CI/CD Security,SAST/DAST;Secure SDLC;Cloud Security,OWASP,Pen Testing;KMS,1.1,2,medium,0.51
R00716,Security Analyst Intern,Intern,IAM;OWASP;SIEM,AppSec Basics;Burp Suite,Vulnerability Scanning,Networking;Cloud Security,1.3,2,medium,0.56
R00717,Machine Learning Engineer,New Grad,Feature Engineering;Deployment;Python;Experiment Tracking;AWS,PyTorch;Computer Vision;CI/CD,MLflow,scikit-learn,1.3,5,high,0.66
R00718,Frontend Engineer,Junior,Git;React;Vite;State Management;Tailwind,Testing;JavaScript;CSS,Playwright;Web Performance,Vue;Design Systems,2.3,3,medium,0.61
R00719,Firmware Engineer,Mid,Memory Management;Oscilloscope;Debugging;Microcontrollers;C++,I2C;Git;Firmware;CAN Bus,Logic Analyzer;C;CI/CD,Linux;UART;SPI,4.9,1,low,0.55
R00720,Machine Learning Engineer,New Grad,Model Evaluation;Feature Engineering;Model Serving;Computer Vision,PyTorch;TensorFlow;Experiment Tracking,Deployment,NLP;CI/CD,0.6,4,medium,0.54
R00721,Site Reliability Engineer,Junior,SLIs/SLOs;Observability;Grafana;Prometheus;Incident Response,Docker;Python;Kubernetes,System Design;CI/CD,Terraform;Chaos Engineering,2.6,4,medium,0.62
R00722,Robotics Software Engineer Intern,Intern,Python;Simulation;C++,Control Systems;ROS,Docker,Perception,0.9,3,high,0.69
R00723,Systems Software Engineer,New Grad,perf;Networking;gdb,Debugging;CI/CD;Rust,C++;Docker,Memory Management;Concurrency;Profiling,1.6,6,low,0.51
R00724,Systems Software Engineer,Mid,Networking;Memory Management;Rust;BPF/eBPF;Docker;System Design,C++;Linux;Concurrency;C,gdb;perf,CI/CD;Profiling,2.4,1,high,0.67
R00725,Full-Stack Engineer,New Grad,AWS;Python;Auth;System Design,Django;Node.js;GraphQL,React,SQL;Next.js,0.9,2,medium,0.57
R00726,Embedded Software Intern,Intern,UART;Interrupts,Debugging;Unit Testing,Logic Analyzer;RTOS,Firmware;SPI;Microcontrollers;I2C,0.9,5,low,0.47
R00727,DevOps Engineer Intern,Intern,Docker;Linux,Python;Prometheus,Kubernetes;Security,ArgoCD;Terraform;Ansible,1.2,2,low,0.46
R00728,Data Engineer Intern,Intern,Data Modeling;Pipelines;BigQuery,Spark;Airflow,CI/CD,ETL,0.8,5,high,0.61
R00729,Machine Learning Engineer,Junior,FastAPI;Model Serving;AWS;MLflow;scikit-learn,TensorFlow;NLP;PyTorch,GCP;Python,CI/CD;Feature Engineering,3.1,5,medium,0.59
R00730,Full-Stack Engineer Intern,Intern,REST APIs;Python;Next.js;JavaScript,CI/CD;Testing,React,Git,0.7,2,high,0.62
R00731,Security Analyst Intern,Intern,Threat Modeling;Burp Suite;CI/CD Security;OWASP,Networking;Linux,SIEM,Vulnerability Scanning,0.8,2,high,0.65
R00732,Embedded Software Intern,Intern,Linux;Firmware;Drivers,Debugging;C,Interrupts,Unit Testing;Memory,0.8,4,medium,0.47
R00733,Application Security Engineer,Junior,Burp Suite;IAM;KMS;Pen Testing;Python;Linux,API Security;Secure SDLC;SAST/DAST,CI/CD Security;Code Review,OWASP,3.5,1,high,0.65
R00734,Backend Software Engineer Intern,Intern,Linux;Go,Redis;Caching,Java;Azure,REST APIs;SQL;Terraform,0.8,4,low,0.38
R00735,Machine Learning Engineer Intern,Intern,Docker;scikit-learn;Python;FastAPI,Weights & Biases;Computer Vision,TensorFlow,Deployment,0.7,5,high,0.67
R00736,DevOps Engineer Intern,Intern,Docker;Linux;Kubernetes;Networking,CI/CD;Prometheus,Ansible,Logging,0.3,4,high,0.63
R00737,Machine Learning Engineer,Junior,Python;GCP;CI/CD;scikit-learn;Feature Engineering,Deployment;TensorFlow;PyTorch,Experiment Tracking;Model Evaluation,Docker;FastAPI,2.3,3,medium,0.61
R00738,Firmware Engineer,Junior,Microcontrollers;Firmware;SPI;Bootloaders,I2C;Drivers;Oscilloscope,Logic Analyzer;CI/CD;Git,CAN Bus;Memory Management;Debugging,2.5,3,low,0.51
R00739,Data Engineer Intern,Intern,Data Quality;BigQuery;Airflow;Snowflake,Data Modeling;Docker,Pipelines,CI/CD,0.6,2,high,0.63
R00740,Data Analyst Intern,Intern,Python;Excel;A/B Testing,BigQuery;Git,Pandas,Snowflake;Statistics,0.7,4,medium,0.57
R00741,DevOps Engineer Intern,Intern,Prometheus;Terraform,Monitoring;Kubernetes,Docker;CI/CD,Grafana;Logging;AWS;Security,0.3,4,low,0.45
R00742,Frontend Engineer Intern,Intern,Vue;Vite;Web Performance;TypeScript,Tailwind;Next.js,HTML,React,0.6,3,high,0.63
R00743,Backend Software Engineer Intern,Intern,Go;Java;MongoDB,Linux;PostgreSQL,gRPC,Azure;REST APIs,0.9,2,medium,0.53
R00744,Security Analyst Intern,Intern,CI/CD Security;Threat Modeling;Burp Suite,OWASP;Cloud Security,Linux,SAST/DAST;Networking,1.0,2,medium,0.55
R00745,Full-Stack Engineer Intern,Intern,CI/CD;Django;React,Python;JavaScript,AWS,System Design;Docker,0.5,2,medium,0.65
R00746,Application Security Engineer,New Grad,Python;JavaScript;Threat Modeling,API Security;Burp Suite;Secure SDLC,Pen Testing;Code Review,IAM;SAST/DAST;KMS;Cloud Security,0.3,5,low,0.48
R00747,Full-Stack Engineer Intern,Intern,Next.js;AWS;PostgreSQL,Flask;Redis,Testing,REST APIs;Django,1.2,3,medium,0.61
R00748,Frontend Engineer,Mid,Design Systems;CI/CD;Jest;Vue;JavaScript;Webpack,Web Performance;React;Testing;Accessibility,Git;HTML,Tailwind;Next.js;State Management,3.9,0,medium,0.57
R00749,Site Reliability Engineer,New Grad,Linux;Go;Observability;SLIs/SLOs;Grafana,CI/CD;On-call;Terraform,Kubernetes,System Design,2.1,5,high,0.66
R00750,Frontend Engineer Intern,Intern,Vue;Accessibility,Testing;Design Systems,Tailwind;JavaScript,React;CSS;HTML;Next.js,1.2,4,low,0.49
R00751,Full-Stack Engineer,Junior,PostgreSQL;GraphQL;Auth;Testing;Python;TypeScript,JavaScript;AWS;Docker,Redis;REST APIs,CI/CD,2.7,2,high,0.64
R00752,Frontend Engineer,Junior,Next.js;Svelte;Git;CI/CD;React,JavaScript;Design Systems;CSS,Webpack;Tailwind,Jest;Testing,2.2,2,medium,0.61
R00753,Firmware Engineer,Junior,SPI;UART;Git;CI/CD;Debugging;Oscilloscope;Memory Management,I2C;RTOS;Logic Analyzer,Firmware;Drivers,Linux,3.2,4,high,0.67
R00754,Frontend Engineer Intern,Intern,TypeScript;Vue;JavaScript,Design Systems;Webpack,Web Performance,Accessibility;CI/CD,0.5,3,medium,0.53
R00755,Embedded Software Intern,Intern,UART;Linux,CAN Bus;I2C,Microcontrollers;Drivers,Git;Logic Analyzer;Memory,0.8,5,low,0.39
R00756,DevOps Engineer Intern,Intern,Logging;Python;Ansible,Monitoring;CI/CD,Prometheus,Docker;Grafana,1.3,3,medium,0.53
R00757,Data Engineer Intern,Intern,Airflow;dbt;Kafka;SQL,Docker;CI/CD,Snowflake,Spark,0.7,5,high,0.71
R00758,Application Security Engineer,New Grad,SAST/DAST;Threat Modeling;Burp Suite;Python,JavaScript;IAM;API Security,Code Review,Cloud Security;CI/CD Security,0.3,6,medium,0.56
R00759,Backend Software Engineer,New Grad,Redis;Message Queues;Go;Testing,Terraform;Linux;Java,Auth,CI/CD;REST APIs,1.3,2,medium,0.51
R00760,Frontend Engineer Intern,Intern,TypeScript;Tailwind;Webpack,Accessibility;Git,CSS,State Management,0.7,2,high,0.64
R00761,Machine Learning Engineer,Junior,Deployment;Python;Experiment Tracking;Computer Vision;FastAPI;NLP,Docker;scikit-learn;CI/CD,PyTorch;Model Evaluation,AWS,2.8,1,high,0.74
R00762,Frontend Engineer,New Grad,CI/CD;TypeScript;CSS;Vite;React,Git;JavaScript;Svelte,Accessibility,Testing,2.0,3,high,0.66
R00763,Backend Software Engineer,Mid,SQL;Auth;PostgreSQL;REST APIs;Java,Message Queues;API Gateway;Microservices;Caching,Terraform;Redis;Observability,MongoDB;AWS;MySQL,4.1,0,low,0.44
R00764,Frontend Engineer Intern,Intern,CSS;Design Systems;Web Performance,CI/CD;Testing,JavaScript,Next.js;Vite,0.4,4,medium,0.55
R00765,Application Security Engineer,Mid,Pen Testing;Code Review;KMS;API Security;SAST/DAST;Threat Modeling,JavaScript;OWASP;CI/CD Security;Secure SDLC,Cloud Security;IAM,Burp Suite;Python;Linux,4.0,2,medium,0.6
R00766,Firmware Engineer,Junior,RTOS;C;Linux;Oscilloscope;Git;SPI;CAN Bus,Logic Analyzer;Drivers;Debugging,Firmware;CI/CD,Microcontrollers,3.1,4,high,0.68
R00767,Systems Software Engineer,Junior,Rust;BPF/eBPF;Memory Management;Debugging;C;Networking;CI/CD,gdb;C++;System Design,Profiling;Concurrency,Linux,2.3,2,high,0.69
R00768,Data Analyst Intern,Intern,dbt;ETL;BigQuery;SQL;Python,Git;Dashboards,Tableau,Pandas,0.5,5,high,0.71
R00769,Robotics Software Engineer Intern,Intern,ROS;SLAM;Simulation,Perception;Sensors,Gazebo,Docker;Control Systems,0.4,4,medium,0.55
R00770,Frontend Engineer Intern,Intern,Playwright;Accessibility;Testing,Web Performance;Jest,Svelte,Next.js,0.9,5,high,0.62
R00771,Backend Software Engineer Intern,Intern,Auth;Python,Docker;Java,API Gateway;GCP,System Design;MySQL;Git,0.6,4,low,0.45
R00772,DevOps Engineer Intern,Intern,Ansible;Bash,AWS;ArgoCD,Monitoring;Python,CI/CD;Security,1.2,4,low,0.45
R00773,Data Engineer Intern,Intern,Data Modeling;Spark;AWS,Python;Airflow,dbt,Data Quality;Pipelines,1.2,2,medium,0.6
R00774,Embedded Software Intern,Intern,C;Drivers,Microcontrollers;Memory,Linux;Unit Testing,Oscilloscope;UART;SPI,0.9,4,low,0.45
R00775,Site Reliability Engineer,New Grad,Terraform;Chaos Engineering;Kubernetes,Go;Linux;CI/CD,Python;On-call,System Design;Incident Response,1.6,5,low,0.51
R00776,Firmware Engineer,Junior,SPI;C;RTOS;Drivers;Linux;CAN Bus,Firmware;Oscilloscope;Git,Microcontrollers;Memory Management,Bootloaders,2.1,1,high,0.66
R00777,Backend Software Engineer,Junior,AWS;API Gateway;Kubernetes;Docker,Caching;Terraform;C++,Python;Linux;MongoDB,SQL;Auth;MySQL,2.6,1,low,0.44
R00778,Site Reliability Engineer,New Grad,Prometheus;Docker;Incident Response,CI/CD;Chaos Engineering;Python,SLIs/SLOs;Observability,Kubernetes;On-call;Tracing,0.3,4,low,0.44
R00779,Frontend Engineer Intern,Intern,Playwright;CSS;Design Systems,Tailwind;Accessibility,React,Webpack;Testing,0.0,5,medium,0.56
R00780,Data Engineer Intern,Intern,Data Quality;AWS;dbt;SQL,Airflow;Pipelines,ETL,Kafka,0.5,3,high,0.67
R00781,Full-Stack Engineer Intern,Intern,Docker;JavaScript;Next.js,Node.js;AWS,GraphQL,System Design;Testing,0.4,3,medium,0.52
R00782,Frontend Engineer,New Grad,Webpack;Playwright;Git,Design Systems;Testing;React,Accessibility;Svelte,Next.js;Jest;HTML,0.6,2,low,0.49
R00783,Frontend Engineer,New Grad,React;Testing;Design Systems;CI/CD,Jest;Tailwind;Vite,Web Performance,CSS,1.0,2,high,0.69
R00784,Security Analyst Intern,Intern,OWASP;Python;SIEM,SAST/DAST;IAM,Linux,Vulnerability Scanning;CI/CD Security,0.8,2,medium,0.51
R00785,Site Reliability Engineer,New Grad,On-call;Incident Response;Observability;Linux,Terraform;Grafana;Chaos Engineering,Go,CI/CD;System Design,1.2,3,medium,0.63
R00786,Machine Learning Engineer,New Grad,AWS;Experiment Tracking;Model Serving;GCP,Model Evaluation;PyTorch;CI/CD,Feature Engineering,Deployment;Docker,1.5,3,medium,0.59
R00787,Machine Learning Engineer,New Grad,scikit-learn;Computer Vision;Docker;Feature Engineering,TensorFlow;PyTorch;Model Evaluation,Model Serving,AWS;MLflow,1.8,4,medium,0.56
R00788,Backend Software Engineer,Mid,Microservices;MySQL;REST APIs;AWS;Caching;Auth,Linux;SQL;Kubernetes;System Design,Git;MongoDB,CI/CD;API Gateway;Message Queues,4.5,0,medium,0.6
R00789,Security Analyst Intern,Intern,Vulnerability Scanning;Linux;Threat Modeling,OWASP;Burp Suite,CI/CD Security,IAM;SAST/DAST,1.7,2,medium,0.49
R00790,Machine Learning Engineer Intern,Intern,MLflow;GCP;Python,Computer Vision;TensorFlow,Experiment Tracking,Feature Engineering;AWS,0.8,2,medium,0.52
R00791,Robotics Software Engineer Intern,Intern,Sensors;ROS;CUDA,Gazebo;Control Systems,Git,Linux;SLAM,1.0,2,medium,0.56
R00792,Full-Stack Engineer Intern,Intern,Django;Python;AWS,REST APIs;JavaScript,SQL,Docker;Testing,1.1,3,medium,0.59
R00793,Robotics Software Engineer Intern,Intern,CUDA;SLAM;OpenCV,Linux;Sensors,ROS,Control Systems;Simulation,0.9,4,medium,0.55
R00794,Full-Stack Engineer,Mid,Redis;Auth;AWS;Docker;REST APIs;Java;PostgreSQL;TypeScript,GraphQL;Next.js;Spring Boot;SQL,Node.js;System Design,React;Git,5.8,3,high,0.66
R00795,Full-Stack Engineer,Junior,Docker;GraphQL;System Design;Django;JavaScript,Auth;Node.js;SQL,PostgreSQL;Testing,Git;REST APIs,3.6,2,medium,0.62
R00796,Embedded Software Intern,Intern,Oscilloscope;CAN Bus;Firmware,Unit Testing;C,Interrupts,RTOS;Debugging,0.7,5,medium,0.59
R00797,Embedded Software Intern,Intern,I2C;UART;RTOS,CAN Bus;Unit Testing,Firmware,Linux;Microcontrollers,1.3,3,medium,0.57
R00798,Backend Software Engineer Intern,Intern,Git;AWS;Go;CI/CD,Java;GCP,REST APIs,API Gateway,1.3,4,high,0.65
R00799,Robotics Software Engineer Intern,Intern,Linux;ROS,SLAM;Git,Sensors;Docker,Simulation;CUDA;Gazebo,1.2,3,low,0.49
R00800,Backend Software Engineer,Junior,PostgreSQL;REST APIs;Python;Redis;Kubernetes,Microservices;Go;System Design,Terraform;API Gateway,Message Queues,1.5,4,high,0.66
R00801,Systems Software Engineer,New Grad,Debugging;gdb;CI/CD;perf,Memory Management;C;BPF/eBPF,System Design,Docker;Networking,1.4,2,medium,0.59
R00802,Data Analyst Intern,Intern,Excel;Snowflake;Data Cleaning,Power BI;Python,Statistics,Pandas,1.3,5,high,0.6
R00803,Systems Software Engineer,New Grad,Docker;gdb;Debugging,System Design;Linux;Memory Management,BPF/eBPF;C++,Networking;Profiling;Concurrency,2.2,5,low,0.47
R00804,Frontend Engineer,Junior,Testing;Tailwind;Next.js;Web Performance;State Management,React;Vite;Design Systems,CI/CD;TypeScript,Svelte;Jest,4.0,4,medium,0.6
R00805,Data Analyst Intern,Intern,A/B Testing;BigQuery;Data Cleaning;Dashboards;Snowflake,Power BI;SQL,Python,dbt,0.6,3,high,0.66
R00806,DevOps Engineer Intern,Intern,ArgoCD;Security;Linux,AWS;Grafana,Monitoring,Terraform;Networking,0.8,4,medium,0.58
R00807,Security Analyst Intern,Intern,Burp Suite;SAST/DAST;Linux,OWASP;IAM,Cloud Security,AppSec Basics;CI/CD Security,0.7,5,medium,0.54
R00808,Backend Software Engineer Intern,Intern,Java;Caching,AWS;MySQL,Go;PostgreSQL,SQL;Kubernetes,0.9,5,low,0.44
R00809,Robotics Software Engineer Intern,Intern,Docker;OpenCV;Perception,CUDA;SLAM,ROS,Simulation;Linux,1.1,4,medium,0.56
R00810,Full-Stack Engineer Intern,Intern,AWS;REST APIs;CI/CD,PostgreSQL;Django,Python,Auth;Redis,0.6,4,medium,0.51
R00811,Full-Stack Engineer,Junior,Python;JavaScript;REST APIs;Next.js;AWS;Java;Spring Boot,System Design;Auth;React,Git;Django,Node.js,3.4,2,high,0.68
R00812,Full-Stack Engineer,New Grad,Next.js;Spring Boot;REST APIs;System Design,Testing;Docker;GraphQL,Python,Auth;Redis,1.8,2,medium,0.56
R00813,Robotics Software Engineer Intern,Intern,Python;Docker;Sensors,SLAM;Perception,Git,Control Systems;Gazebo,0.8,3,medium,0.55
R00814,Full-Stack Engineer Intern,Intern,GraphQL;CI/CD;Django;Next.js,JavaScript;Docker,Redis,REST APIs,0.3,4,high,0.62
R00815,Frontend Engineer Intern,Intern,State Management;React;TypeScript,HTML;Vite,Playwright,Next.js,0.7,5,high,0.63
R00816,Security Analyst Intern,Intern,AppSec Basics;SAST/DAST;IAM,Vulnerability Scanning;Networking,Threat Modeling,OWASP;Burp Suite,0.7,5,medium,0.56
R00817,Data Analyst Intern,Intern,Dashboards;Data Cleaning;BigQuery;ETL;Excel,Python;dbt,Pandas,Power BI,1.6,3,high,0.64
R00818,Firmware Engineer,New Grad,UART;CI/CD;CAN Bus;I2C;Microcontrollers;Bootloaders,C;SPI;Memory Management,Firmware,Debugging,2.0,4,high,0.63
R00819,Data Analyst Intern,Intern,Dashboards;SQL,ETL;Pandas,Git;Statistics,Excel;Data Cleaning;dbt,0.8,4,low,0.47
R00820,Machine Learning Engineer Intern,Intern,FastAPI;Docker;MLflow,Computer Vision;GCP,AWS,TensorFlow;Deployment,1.4,2,medium,0.58
R00821,Backend Software Engineer,New Grad,SQL;Go;Caching;C++,Java;AWS;Observability,CI/CD,Auth;Linux,1.2,3,medium,0.53
R00822,Robotics Software Engineer Intern,Intern,Control Systems;OpenCV;Git,ROS;Docker,Sensors,Simulation;Gazebo,1.3,2,medium,0.53
R00823,Systems Software Engineer,New Grad,Rust;gdb;Networking;C++,Concurrency;BPF/eBPF;C,Profiling,Debugging;CI/CD,1.8,6,medium,0.59
R00824,Application Security Engineer,New Grad,Threat Modeling;IAM;Secure SDLC;JavaScript,API Security;KMS;Linux,Python,Burp Suite;OWASP,2.2,4,medium,0.52
R00825,Frontend Engineer Intern,Intern,JavaScript;HTML,CI/CD;Webpack,Tailwind;Svelte,Next.js;Jest;Playwright,1.2,2,low,0.47
R00826,Data Analyst Intern,Intern,ETL;Excel;Tableau,Statistics;Power BI,Python,Dashboards;Snowflake,0.9,5,medium,0.54
R00827,Data Engineer Intern,Intern,Terraform;Pipelines;SQL;Data Modeling,ETL;Docker,Data Quality,Airflow,0.9,4,high,0.67
R00828,Application Security Engineer,New Grad,Code Review;Linux;IAM;API Security,Threat Modeling;Burp Suite;SAST/DAST,OWASP,Cloud Security;CI/CD Security,1.5,6,medium,0.57
R00829,Application Security Engineer,Junior,Threat Modeling;OWASP;SAST/DAST;Pen Testing;Python,Linux;Cloud Security;Secure SDLC,Code Review;KMS,API Security;IAM,2.4,2,medium,0.62
R00830,Embedded Software Intern,Intern,Memory;RTOS;Drivers,Git;C,Logic Analyzer,Interrupts;Microcontrollers,0.5,2,medium,0.59
R00831,Embedded Software Intern,Intern,Interrupts;I2C;Logic Analyzer,Memory;Microcontrollers,C++,CAN Bus;Drivers,1.1,4,medium,0.55
R00832,Site Reliability Engineer,Junior,SLIs/SLOs;Prometheus;Observability;On-call;Terraform,System Design;Incident Response;Kubernetes,Grafana;Chaos Engineering,CI/CD;Tracing,2.4,2,medium,0.55
R00833,DevOps Engineer Intern,Intern,AWS;Monitoring;Bash,Terraform;Grafana,CI/CD,Security;Kubernetes,0.8,2,medium,0.6
R00834,Full-Stack Engineer Intern,Intern,Node.js;Testing,AWS;Docker,REST APIs;Auth,Git;PostgreSQL;Redis,0.4,2,low,0.52
R00835,Full-Stack Engineer,New Grad,React;AWS;Auth,JavaScript;PostgreSQL;Next.js,REST APIs;Docker,Node.js;Django;System Design,1.4,2,low,0.49
R00836,Data Analyst Intern,Intern,Statistics;Tableau;Pandas,Power BI;A/B Testing,Data Cleaning,dbt,0.5,3,high,0.59
R00837,DevOps Engineer Intern,Intern,Kubernetes;Ansible;Logging,Bash;Docker,Networking,CI/CD;ArgoCD,0.5,2,medium,0.56
R00838,Application Security Engineer,Junior,Linux;SAST/DAST;OWASP;Python;Cloud Security,IAM;Burp Suite;Threat Modeling,Pen Testing;Code Review,CI/CD Security;Secure SDLC,2.5,2,medium,0.52
R00839,Full-Stack Engineer Intern,Intern,REST APIs;Git;Next.js,Django;CI/CD,Node.js,System Design;AWS,0.3,2,medium,0.6
R00840,Site Reliability Engineer,Junior,Linux;Go;Observability;Chaos Engineering;On-call,Grafana;System Design;Prometheus,Terraform;SLIs/SLOs,Kubernetes;CI/CD,2.4,4,medium,0.54
R00841,Backend Software Engineer,New Grad,API Gateway;Microservices;Observability;Message Queues,gRPC;Kubernetes;System Design,Terraform,Redis;CI/CD,0.9,5,medium,0.55
R00842,DevOps Engineer Intern,Intern,Linux;AWS;Prometheus,Grafana;Terraform,Kubernetes,CI/CD;Monitoring,0.5,3,medium,0.59
R00843,Backend Software Engineer,Junior,MongoDB;Caching;gRPC;Terraform,Microservices;Python;Kubernetes,System Design;Observability;Auth,Testing;REST APIs;Docker,3.2,1,low,0.46
R00844,Site Reliability Engineer,New Grad,Grafana;Docker;Go;Python,Prometheus;Kubernetes;Observability,Tracing,System Design;SLIs/SLOs,0.9,2,medium,0.56
